Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;52;0,4990;479;12;0;0;1;1;0;0
0,5000;480;1;2;0;59;0,4990;479;12;0;0;0;0;0;1
1,0000;960;2;1;0;59;0,3740;359;9;0;0;1;0;0;0
1,3750;1320;2;1;360;59;0,1240;119;3;0;0;0;0;0;0
1,5000;1440;2;2;0;59;0,3740;359;9;1;1;1;1;0;0
1,8750;1800;2;2;360;55;0,1240;119;3;0;0;0;0;0;0
2,0000;1920;3;1;0;55;0,3740;359;9;1;1;1;0;0;0
2,3750;2280;3;1;360;52;0,1240;119;3;0;0;0;0;0;0
2,5000;2400;3;2;0;52;0,2490;239;6;1;0;1;1;1;0
3,0000;2880;4;1;0;55;0,4990;479;12;0;0;0;0;0;1
3,5000;3360;4;2;0;59;0,3740;359;9;1;0;1;0;0;0
3,8750;3720;4;2;360;55;0,1240;119;3;0;0;0;0;0;0
4,0000;3840;5;1;0;55;0,3740;359;9;1;0;1;0;0;0
4,3750;4200;5;1;360;55;0,1240;119;3;0;0;0;0;0;0
4,5000;4320;5;2;0;55;0,3740;359;9;1;1;1;1;0;0
4,8750;4680;5;2;360;52;0,1240;119;3;0;0;0;0;0;0
5,0000;4800;6;1;0;52;0,3740;359;9;1;0;1;0;0;0
5,3750;5160;6;1;360;48;0,1240;119;3;0;0;0;0;0;0
5,5000;5280;6;2;0;52;0,2490;239;6;1;1;1;1;1;0
6,0000;5760;7;1;0;55;0,3740;359;9;0;0;0;0;0;0
6,3750;6120;7;1;360;54;0,1240;119;3;0;0;0;0;0;0
6,5000;6240;7;2;0;55;0,3740;359;9;1;0;1;0;0;0
6,8750;6600;7;2;360;55;0,1240;119;3;0;0;0;0;0;0
7,0000;6720;8;1;0;55;0,4990;479;12;0;1;1;0;0;1
7,5000;7200;8;2;0;54;0,3740;359;9;0;0;0;0;0;0
7,8750;7560;8;2;360;52;0,1240;119;3;0;0;0;0;0;0
8,0000;7680;9;1;0;52;0,4990;479;12;1;1;1;1;1;1
8,5000;8160;9;2;0;55;0,3740;359;9;0;0;0;0;0;0
8,8750;8520;9;2;360;54;0,1240;119;3;0;0;0;0;0;0
9,0000;8640;10;1;0;54;0,2490;239;6;0;0;1;0;0;0
9,2500;8880;10;1;240;52;0,2490;239;6;0;0;0;0;0;0
9,5000;9120;10;2;0;52;0,3740;359;9;1;0;1;0;0;0
9,8750;9480;10;2;360;52;0,1240;119;3;0;0;0;0;0;0
10,0000;9600;11;1;0;52;0,3740;359;9;1;0;0;0;0;0
10,3750;9960;11;1;360;52;0,1240;119;3;0;0;1;0;0;0
10,5000;10080;11;2;0;48;0,1240;119;3;0;0;0;0;0;0
10,6250;10200;11;2;120;48;0,1240;119;3;1;1;1;1;1;0
11,0000;10560;12;1;0;52;0,1240;119;3;0;0;0;0;0;0
11,1250;10680;12;1;120;52;0,3740;359;9;0;0;1;0;0;0
11,5000;11040;12;2;0;54;0,1656;159;4;0;1;0;0;0;0
11,6667;11200;12;2;160;52;0,1656;159;4;0;0;0;0;0;0
11,8333;11360;12;2;320;52;0,1656;159;4;0;0;0;0;0;0
12,0000;11520;13;1;0;52;0,1240;119;3;1;0;0;0;0;0
12,1250;11640;13;1;120;52;0,3740;359;9;0;0;0;0;0;0
12,5000;12000;13;2;0;52;0,3740;359;9;0;0;0;0;0;0
12,8750;12360;13;2;360;52;0,1240;119;3;0;0;0;0;0;0
13,0000;12480;14;1;0;52;0,4990;479;12;1;1;1;1;1;1
13,5000;12960;14;2;0;48;0,1240;119;3;0;0;0;0;0;0
13,6250;13080;14;2;120;48;0,2490;239;6;0;0;0;0;0;0
13,8750;13320;14;2;360;48;0,1240;119;3;0;0;1;0;0;0
14,0000;13440;15;1;0;52;0,4990;479;12;0;1;0;0;0;1
14,5000;13920;15;2;0;52;0,3740;359;9;0;0;0;0;0;0
14,8750;14280;15;2;360;52;0,1240;119;3;0;0;0;0;0;0
15,0000;14400;16;1;0;52;0,9990;959;24;1;1;1;1;1;1
